,Title
0," ""Greetings"""
1," ""Bloody Mama"""
2," ""Hi Mom!"""
3," ""Born to Win"""
4," ""Mean Streets"""
5," ""Bang the Drum Slowly"""
6," ""The Godfather Part II"""
7," ""The Last Tycoon"""
8," ""Taxi Driver"""
9," ""1900"""
10," ""New York New York"""
11," ""The Deer Hunter"""
12," ""Raging Bull"""
13," ""True Confessions"""
14," ""The King of Comedy"""
15," ""Once Upon a Time in America"""
16," ""Falling in Love"""
17," ""Brazil"""
18," ""The Mission"""
19," ""Dear America: Letters Home From Vietnam"""
20," ""The Untouchables"""
21," ""Angel Heart"""
22," ""Midnight Run"""
23," ""Jacknife"""
24," ""We're No Angels"""
25," ""Awakenings"""
26," ""Stanley & Iris"""
27," ""Goodfellas"""
28," ""Cape Fear"""
29," ""Mistress"""
30," ""Guilty by Suspicion"""
31," ""Backdraft"""
32," ""Thunderheart"""
33," ""Night and the City"""
34," ""This Boy's Life"""
35," ""Mad Dog and Glory"""
36," ""A Bronx Tale"""
37," ""Mary Shelley's Frankenstein"""
38," ""Casino"""
39," ""Heat"""
40," ""Sleepers"""
41," ""The Fan"""
42," ""Marvin's Room"""
43," ""Wag the Dog"""
44," ""Jackie Brown"""
45," ""Cop Land"""
46," ""Ronin"""
47," ""Great Expectations"""
48," ""Analyze This"""
49," ""Flawless"""
50," ""The Adventures of Rocky & Bullwinkle"""
51," ""Meet the Parents"""
52," ""Men of Honor"""
53," ""The Score"""
54," ""15 Minutes"""
55," ""City by the Sea"""
56," ""Analyze That"""
57," ""Godsend"""
58," ""Shark Tale"""
59," ""Meet the Fockers"""
60," ""The Bridge of San Luis Rey"""
61," ""Rent"""
62," ""Hide and Seek"""
63," ""The Good Shepherd"""
64," ""Arthur and the Invisibles"""
65," ""Captain Shakespeare"""
66," ""Righteous Kill"""
67," ""What Just Happened?"""
68," ""Everybody's Fine"""
69," ""Machete"""
70," ""Little Fockers"""
71," ""Stone"""
72," ""Killer Elite"""
73," ""New Year's Eve"""
74," ""Limitless"""
75," ""Silver Linings Playbook"""
76," ""Being Flynn"""
77," ""Red Lights"""
78," ""Last Vegas"""
79," ""The Big Wedding"""
80," ""Grudge Match"""
81," ""Killing Season"""
82," ""The Bag Man"""
83," ""Joy"""
84," ""Heist"""
85," ""The Intern"""
86," ""Dirty Grandpa"""
